"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Nacra 460","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","2004","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 11 700 € (2020)","14’ 10”4.5 m","7’ 8”2.35 m","","287 lb130 kg","163 ft²15.18 m²","294 ft²27.3 m²","132 ft²12.3 m²","","","Sloop Marconi fractional","Fore beam stepped mast","Yes","","No spreader","Aluminum mast and no boom","637 ft²/T59.15 m²/T","1145 ft²/T106.38 m²/T","No engine","","","No cockpit","","","","School","","","","","","","","","","","","","","","","","","","","","","","","","1x19 strand wire","","","","","","","","","","","31 ft²2.88 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nacra 460","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","2004","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 11 700 € (2020)","14’ 10”4.5 m","7’ 8”2.35 m","","287 lb130 kg","166 ft²15.38 m²","294 ft²27.3 m²","135 ft²12.5 m²","","","Sloop Marconi fractional","Fore beam stepped mast","Yes","","No spreader","Aluminum mast and no boom","645 ft²/T59.93 m²/T","1145 ft²/T106.38 m²/T","No engine","","","No cockpit","","","","Fun","","","","","","","","","","","","","","","","","","","","","","","","","1x19 strand wire","","","","","","","","","","","31 ft²2.88 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 set(s)","","","","https://www.boat-specs.com/"
"Nacra 460","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","2004","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 11 700 € (2020)","14’ 10”4.5 m","7’ 8”2.35 m","","287 lb130 kg","166 ft²15.45 m²","294 ft²27.3 m²","132 ft²12.3 m²","","161 ft²15 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","","No spreader","Aluminum mast and no boom","648 ft²/T60.21 m²/T","1145 ft²/T106.38 m²/T","No engine","","","No cockpit","","","","Sport","","","","","","","","","","","","","","","","","","","","","","","","","1x19 strand wire","","","","","","","","","","","34 ft²3.15 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 set(s)","","","","https://www.boat-specs.com/"
"Nacra 500","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","Hull and deck: GRP (glass reinforced polyester)","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 13 600 € (2020)","16’ 5”5 m","8’2.44 m","","328 lb149 kg","190 ft²17.67 m²","","152 ft²14.15 m²","","","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","677 ft²/T62.87 m²/T","1193 ft²/T110.83 m²/T","No engine","","","No cockpit","","","","School","","","","","18’ 1”5.52 m","","25’ 5”7.75 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","38 ft²3.52 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra 500","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","Hull and deck: GRP (glass reinforced polyester)","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 13 600 € (2020)","16’ 5”5 m","8’2.44 m","","328 lb149 kg","192 ft²17.86 m²","","152 ft²14.15 m²","","","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","684 ft²/T63.55 m²/T","1193 ft²/T110.83 m²/T","No engine","","","No cockpit","","","","Fun","","","","","18’ 1”5.52 m","","25’ 5”7.75 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","40 ft²3.71 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra 500","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","Hull and deck: GRP (glass reinforced polyester)","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 13 600 € (2020)","16’ 5”5 m","8’2.44 m","","328 lb149 kg","192 ft²17.86 m²","335 ft²31.15 m²","152 ft²14.15 m²","","183 ft²17 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","684 ft²/T63.55 m²/T","1193 ft²/T110.83 m²/T","No engine","","","No cockpit","","","","Sport","","","","","18’ 1”5.52 m","","25’ 5”7.75 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","40 ft²3.71 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra 570","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 15 100 € (2020)","18’ 7”5.67 m","8’ 2”2.5 m","","364 lb165 kg","226 ft²21 m²","","177 ft²16.4 m²","","","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","751 ft²/T69.81 m²/T","1159 ft²/T107.7 m²/T","No engine","","","No cockpit","","","","School","","","","","19’ 8”6 m","","28’ 1”8.55 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","50 ft²4.6 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra 570","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 15 100 € (2020)","18’ 7”5.67 m","8’ 2”2.5 m","","364 lb165 kg","231 ft²21.45 m²","350 ft²32.55 m²","178 ft²16.55 m²","","172 ft²16 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","767 ft²/T71.3 m²/T","1165 ft²/T108.2 m²/T","No engine","","","No cockpit","","","","Fun","","","","","19’ 8”6 m","","28’ 1”8.55 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","53 ft²4.9 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra 570","Catamaran","Double handed sport/beach catamaran","Nacra","Performance Catamarans","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass polyester","1998","Still in production","Skegs : skeg on each hull","Single tiller","Twin transom hung rudders","No","Yes","C","About 15 100 € (2020)","18’ 7”5.67 m","8’ 2”2.5 m","","364 lb165 kg","231 ft²21.45 m²","404 ft²37.55 m²","178 ft²16.55 m²","","226 ft²21 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum mast and no boom","767 ft²/T71.3 m²/T","1344 ft²/T124.82 m²/T","No engine","","","No cockpit","","","","Sport","","","","","19’ 8”6 m","","28’ 1”8.55 m","","","","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","53 ft²4.9 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra F16","Catamaran","Double handed sport/beach catamaran","Nacra","Morrelli & Melvin","United States","Fiberglass reinforced epoxy: Sandwich PVC fiberglass epoxy with carbon fiber reinforcements","2012","Still in production","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","C","About 21 000 € (2020)","16’ 5”5 m","8’ 2”2.5 m","","282 lb128 kg","201 ft²18.7 m²","350 ft²32.5 m²","161 ft²15 m²","","188 ft²17.5 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","","No spreader","Aluminum spars","793 ft²/T73.63 m²/T","1377 ft²/T127.96 m²/T","No engine","","","No cockpit","","","","","","","","","","","","","","232","","","","","","","","","","","","","","","","","","","","","","","","Formula 16","","40 ft²3.7 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra F18","Catamaran","Double handed sport/beach catamaran","Nacra","Alain Comyn","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","2002","2006","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","C","N/A €","18’ 1”5.52 m","8’ 6”2.6 m","","397 lb180 kg","228 ft²21.15 m²","409 ft²38 m²","183 ft²17 m²","","226 ft²21 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum spars","714 ft²/T66.34 m²/T","1283 ft²/T119.2 m²/T","No engine","","","No cockpit","","","","","18’5.5 m","","","","18’ 10”5.73 m","","28’8.53 m","","","31","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","F18","","45 ft²4.15 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","693","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra F18 Infusion","Catamaran","Double handed sport/beach catamaran","Nacra","Morrelli & Melvin","United States","GRP (glass reinforced polyester): Sandwich PVC fiberglass vinylester (vacuum infusion)","2008","Discontinued","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","","N/A €","18’ 1”5.52 m","8’ 6”2.6 m","","397 lb180 kg","228 ft²21.15 m²","517 ft²48 m²","183 ft²17 m²","","334 ft²31 m²","Sloop Marconi masthead","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum spars","714 ft²/T66.34 m²/T","1621 ft²/T150.57 m²/T","No engine","","","No cockpit","","","","","18’ 1”5.52 m","","","","","","","","","30","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","","45 ft²4.15 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra Inter 17","Catamaran","Single handed sport/beach catamaran","Nacra","Roscoe Guinea","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","1998","2008","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","C","N/A €","17’ 2”5.25 m","8’ 2”2.5 m","","309 lb140 kg","149 ft²13.8 m²","332 ft²30.8 m²","149 ft²13.8 m²","","183 ft²17 m²","Cat boat Marconi","Fore beam stepped mast","Yes","","No spreader","Aluminum spars","551 ft²/T51.18 m²/T","1230 ft²/T114.23 m²/T","No engine","","","No cockpit","","","","","","","","","","","26’ 10”8.16 m","","","","","","","","","","","","","","","","","","1x19 strand wire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1 set(s)","","","","https://www.boat-specs.com/"
"Nacra Inter 18","Catamaran","Double handed sport/beach catamaran","Nacra","Morrelli & Melvin","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","1996","2002","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","C","N/A €","18’ 1”5.52 m","8’ 6”2.6 m","","397 lb180 kg","228 ft²21.15 m²","409 ft²38 m²","183 ft²17 m²","","226 ft²21 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Aluminum spars","714 ft²/T66.34 m²/T","1283 ft²/T119.2 m²/T","No engine","","","No cockpit","","","","","18’5.5 m","","","","18’ 10”5.73 m","","28’8.53 m","","","31","","","","","","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","F18","","45 ft²4.15 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","693","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nacra Inter 20","Catamaran","Double handed sport/beach catamaran","Nacra","Morrelli & Melvin","United States","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","1998","2001","Centerboard : twin daggerboards","Single tiller","Twin transom hung rudders","No","Yes","C","N/A €","20’6.1 m","8’ 6”2.6 m","3’ 4”1 m","419 lb190 kg","246 ft²22.85 m²","463 ft²43 m²","194 ft²18 m²","","269 ft²25 m²","Sloop Marconi fractional","Fore beam stepped mast","Yes","1","Swept-back (diamond)","Carbon fiber mast and aluminum boom","744 ft²/T69.14 m²/T","1400 ft²/T130.11 m²/T","No engine","","","No cockpit","","","","","","","","","20’ 11”6.36 m","","29’ 2”8.9 m","","","","","","","","","","0’ 6”0.15 m","","","","","","","","1x19 strand wire continuous","","","","","","","","","Formula 20","","52 ft²4.85 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2 set(s)","","","","https://www.boat-specs.com/"
"Nauticat 321","Monohull","Deck saloon motorsailer","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1999","2018","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single semi-spade rudder","No","No","A","About 198 000 € (2017)","32’ 10”10 m","10’ 7”3.24 m","5’ 5”1.65 m","13669 lb6200 kg","576 ft²53.5 m²","1101 ft²102.3 m²","240 ft²22.3 m²","336 ft²31.2 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","171 ft²/T15.85 m²/T","326 ft²/T30.31 m²/T","1 inboard engine","39 HP","Diesel","Closed aft cockpit","","4  / 6","1","Standard","27’ 2”8.3 m","4409 lb2000 kg","Lead","861 ft²80 m²","","","","","","307","32 %","6.99 knots","66 gal250 liters","","116.2 gal440 liters","6’ 2”1.9 m","","","2","26.4 gal100 liters","","6’1.83 m","","45’ 4”13.8 m","","","","","","","","","","","","203 ft²18.9 m²","","","","","","","","","","","","","","","","","","","","","","65 ft²6 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 321","Monohull","Deck saloon motorsailer","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1999","2018","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single semi-spade rudder","No","No","A","About 198 000 € (2017)","32’ 10”10 m","10’ 7”3.24 m","4’ 10”1.45 m","13999 lb6350 kg","576 ft²53.5 m²","1101 ft²102.3 m²","240 ft²22.3 m²","336 ft²31.2 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","168 ft²/T15.6 m²/T","321 ft²/T29.83 m²/T","1 inboard engine","39 HP","Diesel","Closed aft cockpit","","4  / 6","1","Shoal draft","27’ 2”8.3 m","4740 lb2150 kg","Lead","861 ft²80 m²","","","","","","314","34 %","6.99 knots","66 gal250 liters","","116.2 gal440 liters","6’ 2”1.9 m","","","2","26.4 gal100 liters","","6’1.83 m","","45’ 4”13.8 m","","","","","","","","","","","","203 ft²18.9 m²","","","","","","","","","","","","","","","","","","","","","","65 ft²6 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 321","Monohull","Deck saloon motorsailer","Nauticat Yachts & Siltala Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1999","2018","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single semi-spade rudder","No","No","A","About 198 000 € (2017)","32’ 10”10 m","10’ 7”3.24 m","5’ 11”1.8 m","13228 lb6000 kg","637 ft²59.2 m²","1141 ft²106 m²","280 ft²26 m²","357 ft²33.2 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","193 ft²/T17.93 m²/T","346 ft²/T32.1 m²/T","1 inboard engine","39 HP","Diesel","Closed aft cockpit","","4  / 6","1","Deep draft","27’ 2”8.3 m","3968 lb1800 kg","Lead","861 ft²80 m²","","","","","","297","30 %","6.99 knots","66 gal250 liters","","116.2 gal440 liters","6’ 2”1.9 m","","","2","26.4 gal100 liters","","6’1.83 m","","45’ 4”13.8 m","","","","","","","","","","","","203 ft²18.9 m²","","","","","","","","","","","","","","","","","","","","","","65 ft²6 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 33","Monohull","Offshore cruising sailboat","Siltala Yachts","Wilho Aarnipalo","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1967","1997","Keel : full keel","Twin helm wheels","Single rudder on skeg","No","No","","N/A €","33’ 1”10.1 m","10’ 8”3.25 m","4’ 1”1.25 m","16535 lb7500 kg","517 ft²48 m²","845 ft²78.5 m²","188 ft²17.5 m²","237 ft²22 m²","","Ketch Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","135 ft²/T12.53 m²/T","221 ft²/T20.49 m²/T","1 inboard engine","80 HP","Diesel","Raised aft cockpit","","6  / 7","","","28’ 2”8.6 m","4079 lb1850 kg","","565 ft²52.5 m²","","","","","","334","25 %","7.12 knots","158.5 gal600 liters","","66 gal250 liters","5’ 11”1.8 m","","","2","","","","","42’ 4”12.9 m","1x19 strand wire continuous","","","","","","","13.60 Tx","","","About 1500","118 ft²11 m²","","","","","","","","","","2","","","","91 ft²8.5 m²","","","","5’ 11”1.8 m","4’ 10”1.45 m","","","81 ft²7.5 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 331","Monohull","Offshore cruising sailboat","Nauticat Yachts & Siltala Yachts","Siltala Design Office & Wilho Aarnipalo","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1999","2018","Keel : fin without bulb","Twin helm wheels","Single semi-spade rudder","No","No","B","About 235 000 € (2017)","34’ 1”10.4 m","11’ 2”3.4 m","4’ 11”1.48 m","18298 lb8300 kg","663 ft²61.6 m²","998 ft²92.7 m²","234 ft²21.7 m²","333 ft²30.9 m²","","Ketch Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","162 ft²/T15.03 m²/T","243 ft²/T22.61 m²/T","1 inboard engine","75 HP","Diesel","Raised aft cockpit","","4  / 6","","Shoal draft","28’ 2”8.6 m","5291 lb2400 kg","","667 ft²62 m²","","","","","","370","29 %","7.12 knots","118.9 gal450 liters","","118.9 gal450 liters","5’ 8”1.75 m","","","2","26.4 gal100 liters","","","","45’ 11”14 m","1x19 strand wire continuous","","","","","","","","21.1 gal80 liters","","","105 ft²9.8 m²","237 ft²22 m²","","","","","","","","","","","","","97 ft²9 m²","","","","4’ 11”1.5 m","4’ 7”1.4 m","","","84 ft²7.8 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 331","Monohull","Offshore cruising sailboat","Nauticat Yachts & Siltala Yachts","Siltala Design Office & Wilho Aarnipalo","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1999","2018","Keel : fin without bulb","Twin helm wheels","Single semi-spade rudder","No","No","B","About 235 000 € (2017)","34’ 1”10.4 m","11’ 2”3.4 m","5’ 2”1.6 m","18298 lb8300 kg","663 ft²61.6 m²","998 ft²92.7 m²","234 ft²21.7 m²","333 ft²30.9 m²","","Ketch Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","162 ft²/T15.03 m²/T","243 ft²/T22.61 m²/T","1 inboard engine","75 HP","Diesel","Raised aft cockpit","","4  / 6","","Deep draft","28’ 2”8.6 m","5291 lb2400 kg","","667 ft²62 m²","","","","","","370","29 %","7.12 knots","118.9 gal450 liters","","118.9 gal450 liters","5’ 8”1.75 m","","","2","26.4 gal100 liters","","","","45’ 11”14 m","1x19 strand wire continuous","","","","","","","","21.1 gal80 liters","","","105 ft²9.8 m²","237 ft²22 m²","","","","","","","","","","","","","97 ft²9 m²","","","","4’ 11”1.5 m","4’ 7”1.4 m","","","84 ft²7.8 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 351","Monohull","Deck saloon cruising sailboat","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","2006","2018","Keel : fin without bulb","Twin helm wheels","Single semi-spade rudder","No","No","A","About 290 000 € (2017)","34’ 10”10.6 m","11’ 6”3.5 m","5’ 11”1.8 m","16535 lb7500 kg","729 ft²67.7 m²","1337 ft²124.2 m²","293 ft²27.2 m²","436 ft²40.5 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","190 ft²/T17.67 m²/T","349 ft²/T32.42 m²/T","1 inboard engine","54 HP","Diesel","Raised aft cockpit","","4  / 6","2","","29’ 8”9.05 m","5952 lb2700 kg","Lead","1044 ft²97 m²","","","","","","287","36 %","7.30 knots","88.5 gal335 liters","","116.2 gal440 liters","6’ 2”1.9 m","","","2","26.4 gal100 liters","","","","50’ 11”15.5 m","1x19 strand wire","","","","","","","","23.8 gal90 liters","","","","337 ft²31.3 m²","","","","","","","","","","","","","","","","","4’ 10”1.45 m","5’ 7”1.7 m","","","98 ft²9.1 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 37","Monohull","Deck saloon cruising sailboat","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","2002","2018","Keel : fin with bulb","Twin helm wheels","Single semi-spade rudder","No","No","A","About 318 000 € (2017)","36’ 10”11.23 m","11’ 10”3.6 m","6’ 1”1.85 m","20944 lb9500 kg","807 ft²75 m²","1475 ft²137 m²","344 ft²32 m²","463 ft²43 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","180 ft²/T16.72 m²/T","329 ft²/T30.54 m²/T","1 inboard engine","54 HP","Diesel","Center cockpit","2  / 3","4  / 8","","","33’ 1”10.1 m","6724 lb3050 kg","Lead","1130 ft²105 m²","","","","","","261","32 %","7.71 knots","88.5 gal335 liters","","116.2 gal440 liters","6’1.82 m","","","","26.4 gal100 liters","","","","54’ 10”16.7 m","1x19 strand wire","","6’ 1”1.85 m","","","","","","23.8 gal90 liters","","","","388 ft²36 m²","","","","","","","1  / 2","","","","","","","1044 ft²97 m²","","","","","","","108 ft²10 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 38","Monohull","Offshore cruising sailboat","Siltala Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1972","1997","Keel : semi-full keel","Twin helm wheels","Single rudder on skeg","No","No","B","About 317 000 € (2016)","38’ 8”11.8 m","11’ 2”3.4 m","5’ 11”1.8 m","24251 lb11000 kg","857 ft²79.6 m²","1421 ft²132 m²","264 ft²24.5 m²","469 ft²43.6 m²","","Ketch Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","173 ft²/T16.09 m²/T","287 ft²/T26.69 m²/T","1 inboard engine","","Diesel","Raised aft cockpit","","4  / 6","2","","30’ 4”9.25 m","6834 lb3100 kg","","1033 ft²96 m²","","","","","","394","28 %","7.38 knots","158.5 gal600 liters","","105.7 gal400 liters","6’1.82 m","","","2","26.4 gal100 liters","","","","50’ 2”15.3 m","1x19 strand wire discontinuous","80 HP / 110 HP","","","","","","16.63 Tx","21.1 gal80 liters","","","156 ft²14.5 m²","304 ft²28.2 m²","","","","","","","","","2","","","","124 ft²11.5 m²","","","","5’ 1”1.55 m","4’ 7”1.4 m","","","94 ft²8.7 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 385","Monohull","Offshore deck saloon cruising sailboat","Nauticat Yachts","Siltala Design Office","Finland","Hull and deck: GRP (glass reinforced polyester)","2006","2018","Keel : fin with bulb","Twin helm wheels","Twin semi-spade rudders","No","No","A","About 325 000 € (2017)","38’ 2”11.65 m","11’ 10”3.6 m","6’ 1”1.85 m","20944 lb9500 kg","807 ft²75 m²","1475 ft²137 m²","344 ft²32 m²","463 ft²43 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","180 ft²/T16.72 m²/T","329 ft²/T30.54 m²/T","1 inboard engine","54 HP","Diesel","Closed aft cockpit","2  / 3","4  / 8","2","","33’ 1”10.1 m","6724 lb3050 kg","Lead","1130 ft²105 m²","","","","","","261","32 %","7.71 knots","88.5 gal335 liters","","116.2 gal440 liters","6’ 1”1.87 m","","","","26.4 gal100 liters","","","","54’ 10”16.7 m","1x19 strand wire","","6’ 1”1.85 m","","","","","","23.8 gal90 liters","","","","388 ft²36 m²","","","","","","","","","","","","","","1044 ft²97 m²","","","","","","","108 ft²10 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
